STAC Field,MSS 1-3 Field,MSS 4-5 Field,TM Field,ETM+ Field,OLI_TIRS Field,OLI-only Field,TIRS-only Field
,GROUP = LANDSAT_METADATA_FILE,GROUP = LANDSAT_METADATA_FILE,GROUP = LANDSAT_METADATA_FILE,GROUP = LANDSAT_METADATA_FILE,GROUP = LANDSAT_METADATA_FILE,GROUP = LANDSAT_METADATA_FILE,GROUP = LANDSAT_METADATA_FILE
,"  GROUP = PRODUCT_CONTENTS","  GROUP = PRODUCT_CONTENTS","  GROUP = PRODUCT_CONTENTS","  GROUP = PRODUCT_CONTENTS","  GROUP = PRODUCT_CONTENTS","  GROUP = PRODUCT_CONTENTS","  GROUP = PRODUCT_CONTENTS"
,"    ORIGIN = ""Image courtesy of the U.S. Geological Survey""","    ORIGIN = ""Image courtesy of the U.S. Geological Survey""","    ORIGIN = ""Image courtesy of the U.S. Geological Survey""","    ORIGIN = ""Image courtesy of the U.S. Geological Survey""","    ORIGIN = ""Image courtesy of the U.S. Geological Survey""","    ORIGIN = ""Image courtesy of the U.S. Geological Survey""","    ORIGIN = ""Image courtesy of the U.S. Geological Survey"""
sci:doi,"    DIGITAL_OBJECT_IDENTIFIER = ""https://doi.org/10.5066/P9AF14YV""","    DIGITAL_OBJECT_IDENTIFIER = ""https://doi.org/10.5066/P9AF14YV""","    DIGITAL_OBJECT_IDENTIFIER = ""https://doi.org/10.5066/P918ROHC""","    DIGITAL_OBJECT_IDENTIFIER = ""https://doi.org/10.5066/P9TU80IG""","    DIGITAL_OBJECT_IDENTIFIER = ""https://doi.org/10.5066/P975CC9B""","    DIGITAL_OBJECT_IDENTIFIER = ""https://doi.org/10.5066/P975CC9B""","    DIGITAL_OBJECT_IDENTIFIER = ""https://doi.org/10.5066/P975CC9B"""
id,"    LANDSAT_PRODUCT_ID = ""LM01_L1TP_040030_19720929_20190828_02_T2""","    LANDSAT_PRODUCT_ID = ""LM04_L1TP_027037_19830415_20200113_02_T2""","    LANDSAT_PRODUCT_ID = ""LT05_L1TP_047027_20101006_20190828_02_T1""","    LANDSAT_PRODUCT_ID = ""LE07_L1TP_042027_20050927_20190828_02_T1""","    LANDSAT_PRODUCT_ID = ""LC08_L1TP_140041_20130503_20190828_02_T1""","    LANDSAT_PRODUCT_ID = ""LO08_L1TP_067017_20130722_20190828_02_T1""","    LANDSAT_PRODUCT_ID = ""LT08_L1GT_015043_20130507_20190828_02_T2"""
landsat:processing_level,"    PROCESSING_LEVEL = ""L1TP""","    PROCESSING_LEVEL = ""L1TP""","    PROCESSING_LEVEL = ""L1TP""","    PROCESSING_LEVEL = ""L1TP""","    PROCESSING_LEVEL = ""L1TP""","    PROCESSING_LEVEL = ""L1TP""","    PROCESSING_LEVEL = ""L1GT"""
landsat:collection_number,"    COLLECTION_NUMBER = 02","    COLLECTION_NUMBER = 02","    COLLECTION_NUMBER = 02","    COLLECTION_NUMBER = 02","    COLLECTION_NUMBER = 02","    COLLECTION_NUMBER = 02","    COLLECTION_NUMBER = 02"
landsat:collection_category,"    COLLECTION_CATEGORY = ""T2""","    COLLECTION_CATEGORY = ""T2""","    COLLECTION_CATEGORY = ""T1""","    COLLECTION_CATEGORY = ""T1""","    COLLECTION_CATEGORY = ""T1""","    COLLECTION_CATEGORY = ""T1""","    COLLECTION_CATEGORY = ""T2"""
,"    OUTPUT_FORMAT = ""GEOTIFF""","    OUTPUT_FORMAT = ""GEOTIFF""","    OUTPUT_FORMAT = ""GEOTIFF""","    OUTPUT_FORMAT = ""GEOTIFF""","    OUTPUT_FORMAT = ""GEOTIFF""","    OUTPUT_FORMAT = ""GEOTIFF""","    OUTPUT_FORMAT = ""GEOTIFF"""
asset,,"    FILE_NAME_BAND_1 = ""LM04_L1TP_027037_19830415_20200113_02_T2_B1.TIF""","    FILE_NAME_BAND_1 = ""LT05_L1TP_047027_20101006_20190828_02_T1_B1.TIF""","    FILE_NAME_BAND_1 = ""LE07_L1TP_042027_20050927_20190828_02_T1_B1.TIF""","    FILE_NAME_BAND_1 = ""LC08_L1TP_140041_20130503_20190828_02_T1_B1.TIF""","    FILE_NAME_BAND_1 = ""LO08_L1TP_067017_20130722_20190828_02_T1_B1.TIF""",
asset,,"    FILE_NAME_BAND_2 = ""LM04_L1TP_027037_19830415_20200113_02_T2_B2.TIF""","    FILE_NAME_BAND_2 = ""LT05_L1TP_047027_20101006_20190828_02_T1_B2.TIF""","    FILE_NAME_BAND_2 = ""LE07_L1TP_042027_20050927_20190828_02_T1_B2.TIF""","    FILE_NAME_BAND_2 = ""LC08_L1TP_140041_20130503_20190828_02_T1_B2.TIF""","    FILE_NAME_BAND_2 = ""LO08_L1TP_067017_20130722_20190828_02_T1_B2.TIF""",
asset,,"    FILE_NAME_BAND_3 = ""LM04_L1TP_027037_19830415_20200113_02_T2_B3.TIF""","    FILE_NAME_BAND_3 = ""LT05_L1TP_047027_20101006_20190828_02_T1_B3.TIF""","    FILE_NAME_BAND_3 = ""LE07_L1TP_042027_20050927_20190828_02_T1_B3.TIF""","    FILE_NAME_BAND_3 = ""LC08_L1TP_140041_20130503_20190828_02_T1_B3.TIF""","    FILE_NAME_BAND_3 = ""LO08_L1TP_067017_20130722_20190828_02_T1_B3.TIF""",
asset,"    FILE_NAME_BAND_4 = ""LM01_L1TP_040030_19720929_20190828_02_T2_B4.TIF""","    FILE_NAME_BAND_4 = ""LM04_L1TP_027037_19830415_20200113_02_T2_B4.TIF""","    FILE_NAME_BAND_4 = ""LT05_L1TP_047027_20101006_20190828_02_T1_B4.TIF""","    FILE_NAME_BAND_4 = ""LE07_L1TP_042027_20050927_20190828_02_T1_B4.TIF""","    FILE_NAME_BAND_4 = ""LC08_L1TP_140041_20130503_20190828_02_T1_B4.TIF""","    FILE_NAME_BAND_4 = ""LO08_L1TP_067017_20130722_20190828_02_T1_B4.TIF""",
asset,"    FILE_NAME_BAND_5 = ""LM01_L1TP_040030_19720929_20190828_02_T2_B5.TIF""",,"    FILE_NAME_BAND_5 = ""LT05_L1TP_047027_20101006_20190828_02_T1_B5.TIF""","    FILE_NAME_BAND_5 = ""LE07_L1TP_042027_20050927_20190828_02_T1_B5.TIF""","    FILE_NAME_BAND_5 = ""LC08_L1TP_140041_20130503_20190828_02_T1_B5.TIF""","    FILE_NAME_BAND_5 = ""LO08_L1TP_067017_20130722_20190828_02_T1_B5.TIF""",
asset,"    FILE_NAME_BAND_6 = ""LM01_L1TP_040030_19720929_20190828_02_T2_B6.TIF""",,"    FILE_NAME_BAND_6 = ""LT05_L1TP_047027_20101006_20190828_02_T1_B6.TIF""",,"    FILE_NAME_BAND_6 = ""LC08_L1TP_140041_20130503_20190828_02_T1_B6.TIF""","    FILE_NAME_BAND_6 = ""LO08_L1TP_067017_20130722_20190828_02_T1_B6.TIF""",
asset,"    FILE_NAME_BAND_7 = ""LM01_L1TP_040030_19720929_20190828_02_T2_B7.TIF""",,"    FILE_NAME_BAND_7 = ""LT05_L1TP_047027_20101006_20190828_02_T1_B7.TIF""","    FILE_NAME_BAND_6_VCID_1 = ""LE07_L1TP_042027_20050927_20190828_02_T1_B6_VCID_1.TIF""",,,
asset,,,,"    FILE_NAME_BAND_6_VCID_2 = ""LE07_L1TP_042027_20050927_20190828_02_T1_B6_VCID_2.TIF""",,,
asset,,,,"    FILE_NAME_BAND_7 = ""LE07_L1TP_042027_20050927_20190828_02_T1_B7.TIF""","    FILE_NAME_BAND_7 = ""LC08_L1TP_140041_20130503_20190828_02_T1_B7.TIF""","    FILE_NAME_BAND_7 = ""LO08_L1TP_067017_20130722_20190828_02_T1_B7.TIF""",
asset,,,,,,,
asset,,,,,,,
asset,,,,"    FILE_NAME_BAND_8 = ""LE07_L1TP_042027_20050927_20190828_02_T1_B8.TIF""","    FILE_NAME_BAND_8 = ""LC08_L1TP_140041_20130503_20190828_02_T1_B8.TIF""","    FILE_NAME_BAND_8 = ""LO08_L1TP_067017_20130722_20190828_02_T1_B8.TIF""",
asset,,,,,"    FILE_NAME_BAND_9 = ""LC08_L1TP_140041_20130503_20190828_02_T1_B9.TIF""","    FILE_NAME_BAND_9 = ""LO08_L1TP_067017_20130722_20190828_02_T1_B9.TIF""",
asset,,,,,"    FILE_NAME_BAND_10 = ""LC08_L1TP_140041_20130503_20190828_02_T1_B10.TIF""",,"    FILE_NAME_BAND_10 = ""LT08_L1GT_015043_20130507_20190828_02_T2_B10.TIF"""
asset,,,,,"    FILE_NAME_BAND_11 = ""LC08_L1TP_140041_20130503_20190828_02_T1_B11.TIF""",,"    FILE_NAME_BAND_11 = ""LT08_L1GT_015043_20130507_20190828_02_T2_B11.TIF"""
asset,"    FILE_NAME_QUALITY_L1_PIXEL = ""LM01_L1TP_040030_19720929_20190828_02_T2_QA_PIXEL.TIF""","    FILE_NAME_QUALITY_L1_PIXEL = ""LM04_L1TP_027037_19830415_20200113_02_T2_QA_PIXEL.TIF""","    FILE_NAME_QUALITY_L1_PIXEL = ""LT05_L1TP_047027_20101006_20190828_02_T1_QA_PIXEL.TIF""","    FILE_NAME_QUALITY_L1_PIXEL = ""LE07_L1TP_042027_20050927_20190828_02_T1_QA_PIXEL.TIF""","    FILE_NAME_QUALITY_L1_PIXEL = ""LC08_L1TP_140041_20130503_20190828_02_T1_QA_PIXEL.TIF""","    FILE_NAME_QUALITY_L1_PIXEL = ""LO08_L1TP_067017_20130722_20190828_02_T1_QA_PIXEL.TIF""","    FILE_NAME_QUALITY_L1_PIXEL = ""LT08_L1GT_015043_20130507_20190828_02_T2_QA_PIXEL.TIF"""
asset,"    FILE_NAME_QUALITY_L1_RADIOMETRIC_SATURATION = ""LM01_L1TP_040030_19720929_20190828_02_T2_QA_RADSAT.TIF""","    FILE_NAME_QUALITY_L1_RADIOMETRIC_SATURATION = ""LM04_L1TP_027037_19830415_20200113_02_T2_QA_RADSAT.TIF""","    FILE_NAME_QUALITY_L1_RADIOMETRIC_SATURATION = ""LT05_L1TP_047027_20101006_20190828_02_T1_QA_RADSAT.TIF""","    FILE_NAME_QUALITY_L1_RADIOMETRIC_SATURATION = ""LE07_L1TP_042027_20050927_20190828_02_T1_QA_RADSAT.TIF""","    FILE_NAME_QUALITY_L1_RADIOMETRIC_SATURATION = ""LC08_L1TP_140041_20130503_20190828_02_T1_QA_RADSAT.TIF""","    FILE_NAME_QUALITY_L1_RADIOMETRIC_SATURATION = ""LO08_L1TP_067017_20130722_20190828_02_T1_QA_RADSAT.TIF""","    FILE_NAME_QUALITY_L1_RADIOMETRIC_SATURATION = ""LT08_L1GT_015043_20130507_20190828_02_T2_QA_RADSAT.TIF"""
asset,"    FILE_NAME_GROUND_CONTROL_POINT = ""LM01_L1TP_040030_19720929_20190828_02_T2_GCP.txt""","    FILE_NAME_GROUND_CONTROL_POINT = ""LM04_L1TP_027037_19830415_20200113_02_T2_GCP.txt""","    FILE_NAME_GROUND_CONTROL_POINT = ""LT05_L1TP_047027_20101006_20190828_02_T1_GCP.txt""","    FILE_NAME_GROUND_CONTROL_POINT = ""LE07_L1TP_042027_20050927_20190828_02_T1_GCP.txt""",,,
asset,,,"    FILE_NAME_ANGLE_COEFFICIENT = ""LT05_L1TP_047027_20101006_20190828_02_T1_ANG.txt""","    FILE_NAME_ANGLE_COEFFICIENT = ""LE07_L1TP_042027_20050927_20190828_02_T1_ANG.txt""","    FILE_NAME_ANGLE_COEFFICIENT = ""LC08_L1TP_140041_20130503_20190828_02_T1_ANG.txt""","    FILE_NAME_ANGLE_COEFFICIENT = ""LO08_L1TP_067017_20130722_20190828_02_T1_ANG.txt""","    FILE_NAME_ANGLE_COEFFICIENT = ""LT08_L1GT_015043_20130507_20190828_02_T2_ANG.txt"""
asset,,,"    FILE_NAME_ANGLE_SENSOR_AZIMUTH_BAND_4 = ""LT05_L1TP_047027_20101006_20190828_02_T1_VAA.TIF""","    FILE_NAME_ANGLE_SENSOR_AZIMUTH_BAND_4 = ""LE07_L1TP_042027_20050927_20190828_02_T1_VAA.TIF""","    FILE_NAME_ANGLE_SENSOR_AZIMUTH_BAND_4 = ""LC08_L1TP_140041_20130503_20190828_02_T1_VAA.TIF""","    FILE_NAME_ANGLE_SENSOR_AZIMUTH_BAND_4 = ""LO08_L1TP_067017_20130722_20190828_02_T1_VAA.TIF""",
asset,,,"    FILE_NAME_ANGLE_SENSOR_ZENITH_BAND_4 = ""LT05_L1TP_047027_20101006_20190828_02_T1_VZA.TIF""","    FILE_NAME_ANGLE_SENSOR_ZENITH_BAND_4 = ""LE07_L1TP_042027_20050927_20190828_02_T1_VZA.TIF""","    FILE_NAME_ANGLE_SENSOR_ZENITH_BAND_4 = ""LC08_L1TP_140041_20130503_20190828_02_T1_VZA.TIF""","    FILE_NAME_ANGLE_SENSOR_ZENITH_BAND_4 = ""LO08_L1TP_067017_20130722_20190828_02_T1_VZA.TIF""",
asset,,,"    FILE_NAME_ANGLE_SOLAR_AZIMUTH_BAND_4 = ""LT05_L1TP_047027_20101006_20190828_02_T1_SAA.TIF""","    FILE_NAME_ANGLE_SOLAR_AZIMUTH_BAND_4 = ""LE07_L1TP_042027_20050927_20190828_02_T1_SAA.TIF""","    FILE_NAME_ANGLE_SOLAR_AZIMUTH_BAND_4 = ""LC08_L1TP_140041_20130503_20190828_02_T1_SAA.TIF""","    FILE_NAME_ANGLE_SOLAR_AZIMUTH_BAND_4 = ""LO08_L1TP_067017_20130722_20190828_02_T1_SAA.TIF""",
asset,,,"    FILE_NAME_ANGLE_SOLAR_ZENITH_BAND_4 = ""LT05_L1TP_047027_20101006_20190828_02_T1_SZA.TIF""","    FILE_NAME_ANGLE_SOLAR_ZENITH_BAND_4 = ""LE07_L1TP_042027_20050927_20190828_02_T1_SZA.TIF""","    FILE_NAME_ANGLE_SOLAR_ZENITH_BAND_4 = ""LC08_L1TP_140041_20130503_20190828_02_T1_SZA.TIF""","    FILE_NAME_ANGLE_SOLAR_ZENITH_BAND_4 = ""LO08_L1TP_067017_20130722_20190828_02_T1_SZA.TIF""",
asset,"    FILE_NAME_METADATA_ODL = ""LM01_L1TP_040030_19720929_20190828_02_T2_MTL.txt""","    FILE_NAME_METADATA_ODL = ""LM04_L1TP_027037_19830415_20200113_02_T2_MTL.txt""","    FILE_NAME_METADATA_ODL = ""LT05_L1TP_047027_20101006_20190828_02_T1_MTL.txt""","    FILE_NAME_METADATA_ODL = ""LE07_L1TP_042027_20050927_20190828_02_T1_MTL.txt""","    FILE_NAME_METADATA_ODL = ""LC08_L1TP_140041_20130503_20190828_02_T1_MTL.txt""","    FILE_NAME_METADATA_ODL = ""LO08_L1TP_067017_20130722_20190828_02_T1_MTL.txt""","    FILE_NAME_METADATA_ODL = ""LT08_L1GT_015043_20130507_20190828_02_T2_MTL.txt"""
asset,"    FILE_NAME_METADATA_XML = ""LM01_L1TP_040030_19720929_20190828_02_T2_MTL.xml""","    FILE_NAME_METADATA_XML = ""LM04_L1TP_027037_19830415_20200113_02_T2_MTL.xml""","    FILE_NAME_METADATA_XML = ""LT05_L1TP_047027_20101006_20190828_02_T1_MTL.xml""","    FILE_NAME_METADATA_XML = ""LE07_L1TP_042027_20050927_20190828_02_T1_MTL.xml""","    FILE_NAME_METADATA_XML = ""LC08_L1TP_140041_20130503_20190828_02_T1_MTL.xml""","    FILE_NAME_METADATA_XML = ""LO08_L1TP_067017_20130722_20190828_02_T1_MTL.xml""","    FILE_NAME_METADATA_XML = ""LT08_L1GT_015043_20130507_20190828_02_T2_MTL.xml"""
asset,"    FILE_NAME_VERIFY_REPORT = ""LM01_L1TP_040030_19720929_20190828_02_T2_VER.txt""","    FILE_NAME_VERIFY_REPORT = ""LM04_L1TP_027037_19830415_20200113_02_T2_VER.txt""","    FILE_NAME_VERIFY_REPORT = ""LT05_L1TP_047027_20101006_20190828_02_T1_VER.txt""",,,,
